altitude_m,pressure_kpa,ambient_temp_c,air_density_kg_m3,density_ratio,cooling_mode,is_forced,theta_base,load_power_w,electrode_gap_mm,delta_t_diurnal,paschen_v_bd,t_baseline_c,t_reference_c,thermal_residual_c
2247.2,77.08,-3.53,0.996,0.8131,forced,1.0,2.926,46.22,7.72,64.5,6374.8,156.07,176.48,20.412
5704.3,49.12,-23.83,0.6864,0.5603,forced,1.0,4.427,36.89,6.44,42.8,3608.9,235.72,319.15,83.432
4392.0,58.55,-6.21,0.7642,0.6238,forced,1.0,4.905,25.23,3.73,57.4,2585.5,174.27,215.52,41.251
3592.0,64.99,-10.39,0.8616,0.7034,forced,1.0,4.361,62.33,7.38,55.9,5245.5,349.74,439.06,89.314
936.1,90.57,20.59,1.0742,0.8769,forced,1.0,3.733,49.91,2.75,61.7,2906.4,227.55,244.8,17.246
936.0,90.57,13.49,1.1008,0.8986,natural,0.0,2.511,57.44,2.59,49.8,2756.5,165.63,175.37,9.741
348.5,97.21,18.25,1.1621,0.9487,forced,1.0,4.47,32.27,1.09,21.7,1355.3,168.7,172.9,4.192
5197.1,52.61,-15.45,0.7112,0.5806,natural,0.0,5.978,70.8,4.23,26.4,2634.2,539.98,745.27,205.288
3606.7,64.86,1.19,0.8237,0.6724,natural,0.0,0.839,27.16,1.43,53.2,1206.7,29.0,33.78,4.783
4248.4,59.67,-2.92,0.7692,0.6279,forced,1.0,1.563,40.77,4.49,38.6,3104.8,89.56,114.78,25.221
123.5,99.85,21.21,1.1817,0.9647,forced,1.0,1.483,70.16,0.59,23.8,813.6,128.27,130.98,2.711
5819.5,48.36,-14.44,0.6512,0.5316,forced,1.0,6.062,8.07,1.97,46.1,1238.8,66.7,84.06,17.364
4994.7,54.06,-13.74,0.7259,0.5926,natural,0.0,4.578,9.94,9.36,59.9,5506.8,45.39,53.33,7.936
1274.0,86.93,14.97,1.051,0.858,natural,0.0,6.225,74.58,8.06,29.7,7392.4,516.17,568.8,52.627
