battery_id,cycle,ambient_temp_c,capacity_ah,soh_pct,internal_resistance_ohm,rul_cycles
B0005,1,24.0,1.8538,99.85,0.3103,167
B0005,2,24.0,1.8521,99.76,0.3197,166
B0005,3,24.0,1.8467,99.47,0.3119,165
B0005,4,24.0,1.8522,99.77,0.318,164
B0005,5,24.0,1.8424,99.24,0.3179,163
B0005,6,24.0,1.841,99.16,0.3139,162
B0005,7,24.0,1.8424,99.24,0.3077,161
B0005,8,24.0,1.8331,98.74,0.3155,160
B0005,9,24.0,1.8347,98.82,0.3209,159
B0005,10,24.0,1.8338,98.78,0.3134,158
B0005,11,24.0,1.8421,99.22,0.3203,157
B0005,12,24.0,1.8353,98.86,0.3154,156
B0005,13,24.0,1.8316,98.66,0.3241,155
B0005,14,24.0,1.828,98.47,0.3265,154
B0005,15,24.0,1.8291,98.52,0.3242,153
B0005,16,24.0,1.828,98.46,0.336,152
B0005,17,24.0,1.8292,98.53,0.3225,151
B0005,18,24.0,1.8314,98.65,0.3227,150
B0005,19,24.0,1.8279,98.46,0.3201,149
B0005,20,24.0,1.8207,98.07,0.3319,148
B0005,21,24.0,1.8279,98.46,0.3328,147
B0005,22,24.0,1.8234,98.22,0.3315,146
B0005,23,24.0,1.8169,97.87,0.3305,145
B0005,24,24.0,1.8199,98.03,0.3404,144
B0005,25,24.0,1.8221,98.15,0.3274,143
B0005,26,24.0,1.821,98.09,0.3353,142
B0005,27,24.0,1.816,97.82,0.3414,141
B0005,28,24.0,1.8219,98.13,0.344,140
B0005,29,24.0,1.8134,97.68,0.3389,139
B0005,30,24.0,1.8171,97.88,0.3464,138
B0005,31,24.0,1.8129,97.65,0.3416,137
B0005,32,24.0,1.8094,97.46,0.3376,136
B0005,33,24.0,1.8161,97.82,0.3515,135
B0005,34,24.0,1.8116,97.58,0.3508,134
B0005,35,24.0,1.8123,97.62,0.3436,133
B0005,36,24.0,1.8114,97.57,0.3556,132
B0005,37,24.0,1.8088,97.43,0.3568,131
B0005,38,24.0,1.7976,96.83,0.3541,130
B0005,39,24.0,1.8074,97.36,0.3496,129
B0005,40,24.0,1.8065,97.31,0.3422,128
B0005,41,24.0,1.8044,97.19,0.355,127
B0005,42,24.0,1.8102,97.51,0.3517,126
B0005,43,24.0,1.8001,96.96,0.3529,125
B0005,44,24.0,1.8061,97.29,0.3581,124
B0005,45,24.0,1.7994,96.93,0.3601,123
B0005,46,24.0,1.801,97.01,0.3634,122
B0005,47,24.0,1.7969,96.79,0.358,121
B0005,48,24.0,1.7972,96.81,0.3534,120
B0005,49,24.0,1.7991,96.91,0.3631,119
B0005,50,24.0,1.797,96.8,0.3617,118
B0005,51,24.0,1.7904,96.44,0.3619,117
B0005,52,24.0,1.7938,96.62,0.361,116
B0005,53,24.0,1.7937,96.61,0.3682,115
B0005,54,24.0,1.8009,97.01,0.3681,114
B0005,55,24.0,1.7935,96.61,0.3679,113
B0005,56,24.0,1.784,96.09,0.3692,112
B0005,57,24.0,1.791,96.47,0.3828,111
B0005,58,24.0,1.7891,96.37,0.3731,110
B0005,59,24.0,1.7888,96.36,0.3668,109
B0005,60,24.0,1.7927,96.56,0.3775,108
B0005,61,24.0,1.7904,96.44,0.3703,107
B0005,62,24.0,1.792,96.52,0.3689,106
B0005,63,24.0,1.7878,96.3,0.3879,105
B0005,64,24.0,1.7807,95.91,0.3752,104
B0005,65,24.0,1.7841,96.1,0.3766,103
B0005,66,24.0,1.7767,95.7,0.3806,102
B0005,67,24.0,1.7778,95.76,0.3837,101
B0005,68,24.0,1.7775,95.74,0.3902,100
B0005,69,24.0,1.7772,95.73,0.3819,99
B0005,70,24.0,1.7827,96.02,0.3785,98
B0005,71,24.0,1.7795,95.85,0.3923,97
B0005,72,24.0,1.7713,95.41,0.3877,96
B0005,73,24.0,1.7779,95.77,0.3918,95
B0005,74,24.0,1.7711,95.4,0.3824,94
B0005,75,24.0,1.7773,95.73,0.3916,93
B0005,76,24.0,1.7753,95.63,0.393,92
B0005,77,24.0,1.7708,95.38,0.3935,91
B0005,78,24.0,1.7738,95.55,0.3898,90
B0005,79,24.0,1.7793,95.84,0.3969,89
B0005,80,24.0,1.7662,95.14,0.3989,88
B0005,81,24.0,1.7662,95.14,0.4007,87
B0005,82,24.0,1.7739,95.55,0.3937,86
B0005,83,24.0,1.7723,95.46,0.401,85
B0005,84,24.0,1.7709,95.39,0.4095,84
B0005,85,24.0,1.7658,95.11,0.3974,83
B0005,86,24.0,1.7624,94.93,0.3982,82
B0005,87,24.0,1.7648,95.06,0.4051,81
B0005,88,24.0,1.7654,95.09,0.4086,80
B0005,89,24.0,1.7635,94.99,0.4129,79
B0005,90,24.0,1.7616,94.89,0.4203,78
B0005,91,24.0,1.7643,95.03,0.4035,77
B0005,92,24.0,1.7567,94.62,0.4114,76
B0005,93,24.0,1.7592,94.76,0.4136,75
B0005,94,24.0,1.7612,94.87,0.4108,74
B0005,95,24.0,1.7551,94.54,0.4047,73
B0005,96,24.0,1.7559,94.58,0.4177,72
B0005,97,24.0,1.7577,94.68,0.4083,71
B0005,98,24.0,1.7567,94.63,0.4176,70
B0005,99,24.0,1.7517,94.35,0.4175,69
B0005,100,24.0,1.7546,94.51,0.4122,68
B0005,101,24.0,1.755,94.53,0.4218,67
B0005,102,24.0,1.7571,94.65,0.4254,66
B0005,103,24.0,1.7464,94.07,0.4166,65
B0005,104,24.0,1.7532,94.44,0.425,64
B0005,105,24.0,1.7524,94.39,0.4428,63
B0005,106,24.0,1.7518,94.36,0.4303,62
B0005,107,24.0,1.7525,94.4,0.429,61
B0005,108,24.0,1.7466,94.08,0.4307,60
B0005,109,24.0,1.744,93.94,0.4268,59
B0005,110,24.0,1.7443,93.96,0.4296,58
B0005,111,24.0,1.7547,94.52,0.421,57
B0005,112,24.0,1.7474,94.12,0.4234,56
B0005,113,24.0,1.742,93.83,0.438,55
B0005,114,24.0,1.7433,93.9,0.4283,54
B0005,115,24.0,1.7394,93.69,0.4382,53
B0005,116,24.0,1.7385,93.65,0.4371,52
B0005,117,24.0,1.7408,93.77,0.4339,51
B0005,118,24.0,1.7484,94.18,0.4414,50
B0005,119,24.0,1.7309,93.24,0.4403,49
B0005,120,24.0,1.7356,93.49,0.4448,48
B0005,121,24.0,1.7343,93.42,0.4411,47
B0005,122,24.0,1.7387,93.65,0.4471,46
B0005,123,24.0,1.731,93.24,0.4423,45
B0005,124,24.0,1.7332,93.36,0.4418,44
B0005,125,24.0,1.7413,93.8,0.4483,43
B0005,126,24.0,1.7284,93.1,0.452,42
B0005,127,24.0,1.7412,93.79,0.4537,41
B0005,128,24.0,1.7258,92.96,0.4473,40
B0005,129,24.0,1.7361,93.52,0.4473,39
B0005,130,24.0,1.7321,93.3,0.4559,38
B0005,131,24.0,1.7258,92.96,0.4528,37
B0005,132,24.0,1.7157,92.42,0.4492,36
B0005,133,24.0,1.7269,93.02,0.4492,35
B0005,134,24.0,1.7337,93.38,0.4495,34
B0005,135,24.0,1.7246,92.89,0.4584,33
B0005,136,24.0,1.7313,93.26,0.4517,32
B0005,137,24.0,1.7294,93.15,0.4601,31
B0005,138,24.0,1.72,92.65,0.4635,30
B0005,139,24.0,1.724,92.86,0.4594,29
B0005,140,24.0,1.7227,92.79,0.4616,28
B0005,141,24.0,1.7221,92.76,0.468,27
B0005,142,24.0,1.7272,93.03,0.4597,26
B0005,143,24.0,1.7286,93.11,0.4573,25
B0005,144,24.0,1.7187,92.58,0.4712,24
B0005,145,24.0,1.7196,92.63,0.4663,23
B0005,146,24.0,1.7169,92.48,0.4681,22
B0005,147,24.0,1.7146,92.35,0.476,21
B0005,148,24.0,1.7176,92.52,0.4694,20
B0005,149,24.0,1.719,92.59,0.4756,19
B0005,150,24.0,1.7178,92.53,0.4784,18
B0005,151,24.0,1.7105,92.13,0.4736,17
B0005,152,24.0,1.716,92.43,0.4806,16
B0005,153,24.0,1.7122,92.23,0.4793,15
B0005,154,24.0,1.7166,92.46,0.477,14
B0005,155,24.0,1.7129,92.26,0.4801,13
B0005,156,24.0,1.709,92.06,0.4878,12
B0005,157,24.0,1.7124,92.24,0.4875,11
B0005,158,24.0,1.7136,92.3,0.4847,10
B0005,159,24.0,1.7103,92.13,0.4843,9
B0005,160,24.0,1.7081,92.01,0.4863,8
B0005,161,24.0,1.7064,91.92,0.4912,7
B0005,162,24.0,1.702,91.68,0.4998,6
B0005,163,24.0,1.7005,91.6,0.4845,5
B0005,164,24.0,1.7084,92.02,0.4957,4
B0005,165,24.0,1.7054,91.86,0.4961,3
B0005,166,24.0,1.7021,91.68,0.4896,2
B0005,167,24.0,1.7017,91.66,0.4919,1
B0005,168,24.0,1.7045,91.81,0.4958,0
B0006,1,24.0,2.024,99.45,0.3237,167
B0006,2,24.0,2.0251,99.5,0.3237,166
B0006,3,24.0,2.0169,99.1,0.3291,165
B0006,4,24.0,2.0183,99.16,0.3266,164
B0006,5,24.0,2.0128,98.89,0.3316,163
B0006,6,24.0,2.0063,98.58,0.3247,162
B0006,7,24.0,2.0069,98.6,0.3319,161
B0006,8,24.0,2.0087,98.69,0.3417,160
B0006,9,24.0,2.0086,98.69,0.3348,159
B0006,10,24.0,2.003,98.41,0.3319,158
B0006,11,24.0,2.0009,98.31,0.3367,157
B0006,12,24.0,2.0002,98.27,0.3354,156
B0006,13,24.0,1.9989,98.21,0.3485,155
B0006,14,24.0,1.9944,97.99,0.3441,154
B0006,15,24.0,1.9957,98.05,0.3414,153
B0006,16,24.0,1.9919,97.87,0.3448,152
B0006,17,24.0,1.9895,97.75,0.3422,151
B0006,18,24.0,1.9874,97.64,0.3498,150
B0006,19,24.0,1.9912,97.83,0.3535,149
B0006,20,24.0,1.9922,97.88,0.3461,148
B0006,21,24.0,1.9853,97.54,0.3522,147
B0006,22,24.0,1.9888,97.71,0.3486,146
B0006,23,24.0,1.9749,97.03,0.3509,145
B0006,24,24.0,1.968,96.69,0.3526,144
B0006,25,24.0,1.9717,96.88,0.3573,143
B0006,26,24.0,1.9744,97.01,0.3673,142
B0006,27,24.0,1.9751,97.04,0.3564,141
B0006,28,24.0,1.966,96.6,0.3631,140
B0006,29,24.0,1.9627,96.43,0.3711,139
B0006,30,24.0,1.971,96.84,0.3609,138
